1788	1035
1790	1009
1791	4059
1792	4204
1793	4153
1795	4669
1796	4906
1800	6053
1801	6510
1802	8013
1803	8286
1805	8543
1806	8567
1807	9128
1810	11950
1815	14864
1816	17088
1817	20514
1819	31651
1820	29407
1821	36968
1822	32610
1823	38342
1825	50906
1851	437665
1861	1151947
1881	2250194
1891	3174392
1901	3773801
1911	4455005
1921	5435734
1933	6629839
1947	7579358
1954	8986530
1961	10508186
1966	11550462
1971	12775638
1976	13548450
1981	14576330
1986	16018000
1990	17065000
1991	17284000
1992	17492000
1993	17662000
1994	17847000
1995	18063000
1996	18312000



