Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
1	-3	-22	94	95.33333333	99.9	-1.97	-28.7	1.06	-667.2	-900	1397	1612	500	1	7	20	90	0.791	1.019	55.599	6.202	0.266747	0.03679
2	-4	-20.5	95	95.33333333	100.6	-1.93	-27.6	1.06	-643.9	-900	1397	1612	500	1	7	20	90	0.791	1.01	55.598	6.197	0.269001	0.035259
3	-2	-23	95	95.33333333	100	-2.04	-30	1.06	-580.7	-900	1397	1612	500	1	7	20	90	0.791	1.023	55.612	6.197	0.264272	0.031989
4	-4	-7.5	107	102.6666667	110.4	-1.92	-16.5	1.06	-704.9	-900	1520	1736	500	1	7	20	90	0.791	1.042	55.434	6.198	0.290072	0.035173
5	-6	-8.5	106	102.6666667	110.8	-1.94	-16.7	1.06	-662.7	-900	1520	1736	500	1	7	20	90	0.791	1.024	55.518	6.198	0.278983	0.032947
6	-5	-8	106	102.6666667	110.3	-2.04	-17.2	1.06	-765.9	-900	1520	1736	500	3	7	20	90	0.791	1.443	55.06	6.187	0.296512	0.038251
7	-7	-1	117	110	120.2	-1.99	-10.3	1.06	-537	-900	1645	1860	500	1	7	20	90	0.791	1.009	55.379	6.192	0.281192	0.02461
8	-6	-1	117	110	120.6	-1.93	-9	1.06	-616.3	-900	1645	1860	500	1	7	20	90	0.791	1.029	55.537	6.196	0.271933	0.028151
9	-5	-1	117	110	120	-1.91	-8.9	1.06	-680.6	-900	1645	1860	500	1	7	20	90	0.791	1.01	55.545	6.194	0.274521	0.031243
10	-8	3.5	125	117.3333333	128.2	-1.98	-5	1.06	-584.8	-900	1769	1984	500	1	7	20	87	0.791	1.042	55.503	6.19	0.272734	0.025128
11	-7	4	125	117.3333333	128.3	-1.97	-4.8	1.06	-566.7	-900	1769	1984	500	1	7	20	87	0.791	1.05	55.462	6.192	0.275562	0.024332
12	-8	4	125	117.3333333	128	-2.05	-6	1.06	-567.7	-900	1769	1984	500	1	7	20	87	0.791	1.033	55.453	6.187	0.288135	0.024432
13	-9	6	131	124.6666667	133.9	-1.91	-1.4	1.06	-524.6	-900	1893	2108	500	1	7	20	87	0.791	1.061	55.374	6.188	0.25504	0.021582
14	-9	4	131	124.6666667	132.8	-2.03	-3.3	1.06	-531.2	-900	1893	2108	500	1	7	20	87	0.791	1.044	55.371	6.185	0.255136	0.022035
15	-7.5	7	131	124.6666667	134.5	-1.96	-1.6	1.06	-567.4	-900	1893	2108	500	1	7	20	87	0.791	1.055	55.585	6.193	0.270051	0.023239
16	-7	5	129	124.6666667	133.3	-2.18	-5	1.06	-524.4	-900	1893	2108	500	1	7	20	87	0.791	1.083	55.431	6.18	0.283189	0.021671
17	-7.5	7.5	131	124.6666667	135	-1.81	0.1	1.06	-503.8	-900	1893	2108	500	1	7	20	87	0.791	1.062	55.56	6.199	0.252807	0.020557
18	-5	6	135	132	138.7	-2.07	-1.9	1.06	-459.7	-900	2017	2232	500	1	7	20	87	0.791	1.068	55.408	6.178	0.250593	0.018258
19	-6	5	135	132	139.8	-1.98	-0.3	1.06	-461.6	-900	2017	2232	500	1	7	20	87	0.791	1.066	55.579	6.193	0.222468	0.018189
20	-8	8.5	136	132	139.2	-1.87	1.4	1.06	-507.9	-900	2017	2232	500	1	7	20	87	0.791	1.058	55.404	6.195	0.247755	0.020099
21	-6	7.5	136	132	140.3	-1.95	0.4	1.06	-464	-900	2017	2232	500	1	7	20	87	0.791	1.06	55.456	6.191	0.242376	0.018218
22	-12	8	136	132	139.4	-1.8	2.1	1.06	-495.4	-900	2017	2232	500	1	7	20	87	0.791	1.075	55.485	6.197	0.232952	0.019577
23	-8	8	136	132	140.4	-1.9	1.6	1.06	-514.5	-900	2017	2232	500	1	7	20	87	0.791	1.057	55.481	6.192	0.241102	0.020187
24	-5	6	136	132	139.7	-2.14	-1.9	1.06	-483.1	-900	2017	2232	500	1	7	20	87	0.791	1.085	55.401	6.182	0.253688	0.01905
25	-8	7	136	132	139.5	-1.99	-0.1	1.06	-488.7	-900	2017	2232	500	1	7	20	87	0.791	1.063	55.34	6.184	0.245884	0.019298
26	-8	10	133	132	138.1	-1.82	1.9	1.06	-537.3	-900	2017	2232	500	1	7	20	87	0.791	1.061	55.335	6.196	0.262796	0.021432
27	-3	9	135	132	139.2	-1.77	2.3	1.06	-481.6	-900	2017	2232	500	1	7	20	87	0.791	1.043	55.432	6.197	0.240586	0.019059
28	-1.5	-31	89	95.33333333	92.9	-1.7	-33.5	1.07	-707.1	-1100	1349	1612	500	2	7	18	88	0.791	1.196	55.493	6.323	0.225834	0.041929
29	-1	-27.5	91	95.33333333	93.3	-1.61	-31.6	1.07	-705.1	-1100	1349	1612	500	2	7	18	88	0.791	1.176	55.39	6.325	0.242761	0.041631
30	-3	-27	91	95.33333333	94.4	-1.66	-30.5	1.07	-716.9	-1100	1349	1612	500	2	7	18	88	0.791	1.177	55.382	6.325	0.236025	0.041834
31	-4.5	-11	101	102.6666667	105.2	-1.68	-17	1.07	-724.5	-1100	1473	1736	500	2	7	18	88	0.791	1.182	55.276	6.319	0.261114	0.037937
32	-4	-11	103	102.6666667	106	-1.7	-16.6	1.07	-682.9	-1100	1473	1736	500	2	7	18	88	0.791	1.18	55.275	6.32	0.254109	0.035489
33	-4	-9.5	101	102.6666667	105	-1.5	-15	1.07	-790	-1100	1473	1736	500	2	7	18	88	0.791	1.191	55.399	6.328	0.258193	0.041446
34	-7	-1	111	110	114.5	-1.56	-7.2	1.07	-700.5	-1100	1597	1860	500	2	7	18	88	0.791	1.175	55.421	6.326	0.259326	0.033701
35	-4	-1	111	110	115	-1.59	-6.6	1.07	-847.3	-1100	1597	1860	500	2	7	18	88	0.791	1.175	55.401	6.324	0.25851	0.040587
36	-4	-1	111	110	115.7	-1.67	-7.3	1.07	-700.5	-1100	1597	1860	500	2	7	18	88	0.791	1.188	55.247	6.321	0.260561	0.033352
37	-4.5	6	120	117.3333333	124.2	-1.71	-1.2	1.07	-841.2	-1100	1721	1984	500	2	7	18	88	0.791	1.203	55.182	6.316	0.273989	0.03731
38	-7	6	120	117.3333333	123.5	-1.59	-0.9	1.07	-711.8	-1100	1721	1984	500	2	7	18	88	0.791	1.204	55.35	6.322	0.264999	0.031749
