DOW JONES
                  O         H         L          C
     4-Mar-94      3830.9   3868.04    3800.5     3832.3
     7-Mar-94     3851.72    3882.4   3824.71    3856.22
     8-Mar-94     3858.48   3881.55   3822.45    3851.72
     9-Mar-94     3853.97   3874.52   3817.95    3853.41
    10-Mar-94     3852.57   3865.51   3801.63    3830.62
    11-Mar-94     3832.58   3872.83   3806.69     3862.7
    14-Mar-94     3870.29   3894.21   3835.96    3862.98
    15-Mar-94     3863.41   3888.46   3826.85    3849.59
    16-Mar-94     3851.03   3879.53   3819.94    3848.15
    17-Mar-94     3853.62   3891.34   3821.66    3865.14
    18-Mar-94     3865.42   3911.78   3838.65    3895.65
    21-Mar-94     3878.38   3898.25   3838.65    3864.85
    22-Mar-94     3865.71   3896.23   3840.66    3862.55
    23-Mar-94     3868.88   3901.41    3839.8    3869.46
    24-Mar-94     3849.88   3865.42   3792.58    3821.09
    25-Mar-94     3827.13   3826.85   3774.73    3774.73
    28-Mar-94     3776.46   3793.45   3719.74    3762.35
    29-Mar-94     3757.17   3771.86   3689.23    3699.02
    30-Mar-94     3688.36   3718.88   3612.36    3626.75
    31-Mar-94     3639.71    3673.1   3544.12    3635.96
     4-Apr-94     3552.18   3633.08    3520.8    3593.35
     5-Apr-94      3649.5   3698.15   3625.02    3675.41
     6-Apr-94     3683.18   3722.24   3643.16    3679.73
     7-Apr-94      3685.2   3712.83   3642.59    3693.26
     8-Apr-94     3683.47   3717.15   3644.03    3674.26
    11-Apr-94     3681.69   3720.66   3651.35    3688.83
    12-Apr-94     3700.73   3722.14   3661.17    3681.69
    13-Apr-94      3680.5    3704.3   3616.85    3661.47
    14-Apr-94     3650.46   3693.59   3625.77    3663.25
    15-Apr-94     3660.57   3699.24   3631.13    3661.47
    18-Apr-94     3661.17   3679.61   3593.35    3620.42
    19-Apr-94     3620.12   3670.39   3567.18    3619.82
    20-Apr-94     3637.08   3662.66   3546.65    3598.71
    21-Apr-94      3622.5   3673.96   3582.94    3652.54
    22-Apr-94     3662.95   3690.32   3621.01    3648.68
    25-Apr-94     3656.41   3721.25   3635.29    3705.78
    26-Apr-94     3710.84   3733.15   3669.79    3699.54
    28-Apr-94     3707.27   3723.93   3640.35    3668.31
    29-Apr-94     3664.14   3707.87   3642.13    3681.69
     2-May-94     3683.77   3734.04   3648.97    3701.02
     3-May-94     3709.65   3736.12   3669.79    3714.41
     4-May-94        3715   3730.17   3670.09    3697.75
     5-May-94     3707.27   3731.07   3675.45    3695.97
     6-May-94     3663.84   3702.51   3625.77     3669.5
     9-May-94     3648.97   3676.93   3612.39    3629.04
    10-May-94     3658.49   3684.67   3627.56    3656.41
    11-May-94     3660.57   3678.42   3609.71    3629.04
    12-May-94     3651.06   3682.58   3624.58    3652.84
    13-May-94     3659.98   3690.32   3626.37    3659.68
    16-May-94     3653.08   3694.21   3628.52     3671.5
    17-May-94     3669.66   3735.04    3653.7    3720.61
    18-May-94     3727.98   3761.74   3683.16    3732.89
