GERMAN DAX
                  O         H         L          C
    23-Dec-93     2210.48   2227.88   2210.48    2222.84
    27-Dec-93     2240.25   2253.98   2240.25    2253.98
    28-Dec-93     2278.25   2284.56   2219.02    2242.82
    29-Dec-93     2233.02   2233.02   2211.11     2214.7
    30-Dec-93     2227.71   2266.68   2227.71    2266.68
     3-Jan-94     2241.73   2268.94   2236.65    2267.98
     4-Jan-94      2262.7    2262.7   2248.51    2253.58
     5-Jan-94     2255.82   2258.62   2229.25    2233.41
     6-Jan-94     2211.33   2223.87   2205.48    2220.22
     7-Jan-94     2207.66   2211.64   2187.32    2211.64
    10-Jan-94      2231.9    2236.9   2224.17    2233.79
    11-Jan-94     2223.73   2233.72    2222.8    2228.75
    12-Jan-94     2222.78   2222.78   2201.61    2209.18
    13-Jan-94     2179.72   2189.95   2151.61    2164.66
    14-Jan-94     2121.73    2149.9   2105.91    2141.82
    17-Jan-94     2140.42   2154.53   2133.17    2137.38
    18-Jan-94        2123      2123   2107.34    2113.84
    19-Jan-94     2130.38   2142.91   2125.07    2134.38
    20-Jan-94     2134.88   2140.38   2110.66     2116.2
    21-Jan-94     2089.95   2089.95   2071.43    2075.61
    24-Jan-94     2049.79   2082.91   2035.76    2080.01
    25-Jan-94     2113.13   2127.92   2113.13    2126.78
    26-Jan-94     2116.36   2120.79   2105.98    2119.17
    27-Jan-94     2129.51   2139.92   2123.32    2125.14
    28-Jan-94     2132.26   2138.68   2130.71    2133.47
    31-Jan-94     2166.44   2177.45    2162.8    2177.45
     1-Feb-94     2183.54    2198.2   2173.91    2179.67
     2-Feb-94     2182.68   2187.33   2178.59    2184.01
     3-Feb-94      2186.8   2187.88   2151.72    2151.72
     4-Feb-94     2132.95   2141.85   2121.84    2138.25
     7-Feb-94     2091.92   2091.92   2073.45     2079.4
     8-Feb-94     2094.19   2120.83   2094.19    2107.21
     9-Feb-94     2088.67   2097.56   2076.32    2085.29
    10-Feb-94     2105.86   2129.11   2105.86    2118.96
    11-Feb-94     2112.66   2114.42   2087.89    2090.61
    14-Feb-94     2108.68   2122.67   2108.68    2116.01
    15-Feb-94     2104.73   2115.62   2097.54    2115.62
