NASDAQ 100
                   O         H         L          C
    27-Jan-94      407.19    410.11    406.59     409.93
    28-Jan-94      409.93    412.65    409.73     412.52
    31-Jan-94      412.52    415.42    412.26     413.99
     1-Feb-94      413.99    413.99    408.96     410.22
     2-Feb-94      410.22    412.44    408.68     411.78
     3-Feb-94      411.78    411.78    407.19     410.05
     4-Feb-94      410.05    410.08    397.11     397.48
     7-Feb-94      397.48    400.19    392.33     399.62
     8-Feb-94      399.62    402.24    396.91     401.46
     9-Feb-94      401.46    404.61    401.19     403.91
    10-Feb-94      403.91    405.95    400.73     401.31
    11-Feb-94      401.31    402.77    398.01     401.83
    14-Feb-94      401.83    405.56    401.83     405.11
    15-Feb-94      405.11    409.17    404.91     408.28
    16-Feb-94      408.28    411.29    407.33     408.74
    17-Feb-94      408.74    412.43    405.35     407.39
    18-Feb-94      407.39    408.23    403.03     407.94
    22-Feb-94      407.94    410.81    405.03     410.48
    23-Feb-94      410.48    412.37    408.21     408.91
    24-Feb-94      408.91    408.91    400.41     402.79
    25-Feb-94      402.79    406.63    402.06     406.45
    28-Feb-94      406.45    413.22    406.45     412.17
     1-Mar-94      412.17    414.03    406.36     409.69
     2-Mar-94      409.69    409.69     398.3     408.18
     3-Mar-94      408.18    411.19    407.39     408.17
     4-Mar-94      408.17    412.97    408.17     411.99
     7-Mar-94      411.99    416.29    411.99      415.3
     8-Mar-94       415.3     415.3    410.01     411.97
     9-Mar-94      411.97    414.33    409.24     413.08
    10-Mar-94      413.08    414.73    407.32     409.77
    11-Mar-94      409.77    410.59    406.95     409.43
    14-Mar-94      409.43     413.6    409.43     412.93
    15-Mar-94      412.93    415.07    412.31     412.83
    16-Mar-94      412.83    415.68    412.36     415.31
    17-Mar-94      415.31    418.99    415.31     418.45
    18-Mar-94      418.45    418.89    415.32     417.52
    21-Mar-94      417.52    417.61    412.76     412.99
    22-Mar-94      412.99    413.01    409.49     410.67
    23-Mar-94      410.67    413.66    410.49      410.5
    24-Mar-94       410.5     410.5    399.83     403.92
    25-Mar-94      403.92    405.26    399.63     399.86
    28-Mar-94      399.86    401.45    388.45     393.92
    29-Mar-94      393.94    395.41    382.81        383
    30-Mar-94         383    386.08    375.74     380.25
    31-Mar-94      380.25    383.77    372.32     382.96
     4-Apr-94      382.96    382.96    368.71     375.42
     5-Apr-94      375.42    389.68    375.42     389.31
     6-Apr-94      389.31    390.47    384.54     388.76
     7-Apr-94      388.76    391.94    387.34     390.97
     8-Apr-94      390.97    391.32    382.64      384.9
    11-Apr-94       384.9    385.01    381.75     383.85
    12-Apr-94      383.85    383.85    373.62     375.46
    13-Apr-94      375.46    377.46     363.7     367.25
    14-Apr-94      367.25    370.26    361.85     365.65
    15-Apr-94      365.65    368.29     364.4     366.29
    18-Apr-94      366.29    368.44    359.06     360.46
    19-Apr-94      360.46    364.51    352.87     357.36
    20-Apr-94      357.36    362.03    352.12     355.38
    21-Apr-94      355.38    367.46    355.38     367.02
    22-Apr-94      367.02    371.89    367.02     369.08
    25-Apr-94      369.08    375.53    368.67     374.79
    26-Apr-94      374.79    377.37    373.99     375.46
    28-Apr-94      375.46    376.43    372.16     372.45
    29-Apr-94      372.45     374.2    369.35     373.25
     2-May-94      373.25    380.62    371.88     379.82
     3-May-94      379.82    381.31    373.92     377.07
     4-May-94      377.07    378.84    375.12     377.53
     5-May-94      377.53    380.17    377.24     378.23
     6-May-94      378.23    378.23       371     374.57
     9-May-94      374.57    374.57    367.03        368
    10-May-94         368    372.67       368     370.02
    11-May-94      370.02    370.31    364.19     365.18
    12-May-94      365.18    369.27    365.18     366.64
    13-May-94      366.64    366.64    359.29     364.82
    16-May-94      364.82    365.08    359.53     360.49
    17-May-94      360.49    360.96    353.43      360.5
