NIKKEI CASH
                  O           H           L           C
    17-Feb-94      19026.5     19026.5    18809.98    18931.39
    18-Feb-94      18993.2    19078.41    18873.09     18959.6
    21-Feb-94     18908.79    19415.14    18826.68    19393.94
    22-Feb-94     19423.14    19561.56    19327.13    19342.63
    23-Feb-94     19401.14    19466.95    19323.93    19341.83
    24-Feb-94     19389.24    19792.28    19389.24    19765.48
    25-Feb-94     19679.67    19890.89    19579.16    19803.38
    28-Feb-94     19848.58    20117.21    19848.58     19997.2
     1-Mar-94     20052.61    20240.92    20052.61    20216.62
     2-Mar-94     20159.02    20159.02    19724.27    19744.77
     3-Mar-94     19759.58    19771.68    19531.65    19605.86
     4-Mar-94     19636.06    20052.11    19627.96       19966
     7-Mar-94      19979.1    20279.13    19768.68    19811.88
     8-Mar-94     19826.28    20090.71    19826.28    19898.39
     9-Mar-94     19869.29    19894.29    19665.67    19839.18
    10-Mar-94     19880.59    20114.41    19880.59    20090.71
    11-Mar-94     20109.91    20256.23     20017.1    20115.31
    14-Mar-94     20157.72    20580.96    20157.72    20526.15
    15-Mar-94     20550.86    20654.17    20458.85    20508.85
    16-Mar-94     20518.05    20781.98    20518.05    20677.77
    17-Mar-94     20692.97    20692.97    20449.44    20592.16
    18-Mar-94     20623.66    20655.67    20440.14    20469.45
    22-Mar-94     20458.55    20458.55    20202.42    20253.53
    23-Mar-94     20276.43    20322.03    19937.99     19962.1
    24-Mar-94      19970.2    20075.81    19870.09     20037.9
    25-Mar-94      19973.4     19973.4    19771.68    19836.48
    28-Mar-94     19819.96    20062.91    19725.55    19941.79
    29-Mar-94     19933.99    19969.19    19653.03    19709.74
    30-Mar-94     19640.53    19640.53    19288.86    19559.91
    31-Mar-94        19500    19547.01    19082.82    19111.92
     1-Apr-94     19161.63    19378.08    19161.63    19277.16
     4-Apr-94     19232.85    19232.85    18896.48    19122.22
     5-Apr-94     19184.04    19580.32    19184.04    19563.21
     6-Apr-94     19636.33    19878.28    19636.33    19696.74
     7-Apr-94     19676.34    19946.09    19587.72    19890.98
     8-Apr-94     19909.48    19973.29     19520.9    19934.99
    11-Apr-94     19948.89     19999.3    19867.47    19898.08
    12-Apr-94     19884.78    19884.78    19647.63    19648.33
    13-Apr-94     19681.74    20103.42    19672.23    20060.41
    14-Apr-94     20052.01    20169.13    19847.97     19987.2
    15-Apr-94     20050.21    20282.16    20050.21    20164.63
    18-Apr-94     20222.44     20494.6    20222.44    20277.36
    19-Apr-94     20243.25    20300.66    20119.42    20192.34
    20-Apr-94     20203.24    20222.64    19850.37    19882.18
    21-Apr-94     19905.28    19934.89    19793.56    19799.36
    22-Apr-94     19881.28    20071.51    19833.27    19964.39
    25-Apr-94     19921.48    19921.48    19628.33    19709.14
    26-Apr-94     19718.04    19718.04     19512.4    19628.93
    27-Apr-94     19633.63    19813.86    19612.82    19729.15
    28-Apr-94     19724.44    19762.95    19644.53    19725.25
     2-May-94     19648.53    19648.53     19488.9    19570.21
     6-May-94     19620.82    19907.98    19620.82    19862.47
     9-May-94     19820.86    19820.86    19721.04    19786.96
    10-May-94     19764.75    19962.69    19753.05    19917.78
    11-May-94      20001.1    20219.84     20001.1    20150.13
    12-May-94     20139.13    20260.35    20118.72    20224.24
    13-May-94     20251.45    20360.37    20221.04    20270.75
    16-May-94     20318.06    20397.98    20174.43    20188.44
    17-May-94     20158.73    20174.93    20067.41    20133.53
    18-May-94     20191.54    20285.96    19965.79    20152.73
    19-May-94     20130.53    20302.46    20034.21    20221.34
    20-May-94     20255.15    20438.39    20255.15    20342.17
    23-May-94     20385.78    20574.91    20328.07    20568.71
    24-May-94     20539.01    20748.75       20501    20622.12
    25-May-94     20633.03    20700.94     20509.9    20663.63
    26-May-94     20632.33    20689.64     20489.3     20495.8
    27-May-94      20518.6    20824.56     20510.1    20777.16
    30-May-94     20835.67    20932.19    20817.16    20838.97
    31-May-94     20857.07    21048.61    20857.07    20973.59
     1-Jun-94      20988.9    21090.72    20896.38    21053.11
     2-Jun-94     21073.71    21198.74    20965.69       21009
     3-Jun-94     20933.69    20954.19    20802.46    20954.19
     6-Jun-94     20954.79    20954.79    20707.54    20726.65
     7-Jun-94     20735.05    21053.71    20735.05    21042.71
     8-Jun-94      21002.3    21273.75    20930.29    21261.95
     9-Jun-94     21279.56    21455.49    21263.95    21402.78
    10-Jun-94     21401.48    21559.81    21355.37    21395.18
    13-Jun-94     21378.38    21573.21    21271.55    21552.81
    14-Jun-94      21495.7     21495.7    21304.16    21353.97
    15-Jun-94     21413.48     21496.6    21234.65    21282.96
    16-Jun-94     21275.36    21389.98    21273.95    21367.47
    17-Jun-94     21398.68    21572.41    21398.68     21503.3
    20-Jun-94      21515.6     21515.6    21125.63    21152.03
    21-Jun-94     21076.22    21076.22    20759.45    20813.16
    22-Jun-94     20742.65    20742.65    20371.37    20581.32
    23-Jun-94     20637.43    21068.01    20637.43    21040.21
    24-Jun-94      20998.3     20998.3    20755.45    20766.75
    27-Jun-94     20649.53    20649.53    20168.53    20300.96
    28-Jun-94     20356.27    20732.55    20356.27    20639.23
    29-Jun-94     20599.12    20599.12    20420.48       20481
    30-Jun-94     20417.58    20684.14    20246.45    20643.93
     1-Jul-94     20618.22    20618.22    20274.95    20543.41
     4-Jul-94     20598.92    20703.14    20573.21    20631.93
     5-Jul-94     20650.03    20907.58    20650.03    20834.37
     6-Jul-94     20846.77    20878.78    20627.43    20629.03
