SINGAPORE STRAIGHT TIMES INDEX CASH
                  O         H         L          C
    10-Mar-94     2222.55   2225.81   2187.73     2194.1
    11-Mar-94      2194.1    2194.1   2169.95     2190.1
    15-Mar-94      2190.1   2209.36   2185.51    2189.95
    16-Mar-94     2189.95    2190.1    2174.1    2185.81
    17-Mar-94     2187.29   2187.29   2151.87    2153.65
    18-Mar-94     2157.36   2157.36   2089.94    2104.02
    21-Mar-94     2104.02   2104.46   2031.19     2036.3
    22-Mar-94      2036.3    2056.3   1990.37    2045.04
    23-Mar-94     2047.71   2128.61   2047.71    2111.28
    24-Mar-94     2110.39   2137.95   2106.53    2109.65
    25-Mar-94     2111.42   2111.42   2079.57    2083.42
    28-Mar-94     2083.42   2087.42   2053.86    2059.93
    29-Mar-94     2059.93   2093.72   2059.79    2093.72
    30-Mar-94     2086.01   2128.39   2072.38    2128.39
    31-Mar-94     2128.39   2128.39    2080.9     2080.9
     4-Apr-94      2080.9   2085.05   2039.12    2039.12
     5-Apr-94     2039.86   2066.38   2037.04    2061.49
     6-Apr-94     2065.94   2130.46   2065.94    2115.57
     7-Apr-94     2115.57   2116.91   2101.94    2106.53
     8-Apr-94     2106.53   2129.43   2105.79    2120.24
    11-Apr-94     2120.24   2186.47   2115.13    2183.36
    12-Apr-94     2183.36   2243.89   2182.62    2233.66
    13-Apr-94     2233.66   2245.81   2227.14    2231.66
    14-Apr-94      2232.4   2240.78   2231.22    2237.37
    15-Apr-94     2246.26    2254.7   2206.55    2212.18
    18-Apr-94     2213.66   2239.07   2212.92    2239.07
    19-Apr-94     2222.77   2222.92   2208.25       2221
    20-Apr-94      2224.4   2229.66   2220.55    2229.66
    21-Apr-94     2227.44   2233.66   2225.81    2231.29
    22-Apr-94     2231.29   2272.19   2231.29    2265.59
    25-Apr-94     2267.67   2312.56   2267.67    2307.82
    26-Apr-94     2307.82   2321.01   2299.75    2314.27
    27-Apr-94     2314.27   2314.27   2290.71    2290.71
    28-Apr-94     2287.45   2311.38   2287.15    2304.64
    29-Apr-94     2304.64   2304.64   2291.15    2296.19
     3-May-94     2296.49   2314.27   2292.49    2310.56
     4-May-94     2310.56    2315.6    2291.9    2301.08
     5-May-94     2301.08   2301.08   2277.74    2277.74
     6-May-94     2277.74   2279.52   2242.26    2256.19
     9-May-94     2256.48   2256.48   2221.44     2222.4
    10-May-94     2222.26   2245.81   2208.03     2234.7
    11-May-94     2236.18   2270.85   2234.41    2261.22
    12-May-94     2261.22   2261.22   2238.11    2250.41
    13-May-94     2250.41   2286.12    2243.3    2286.12
    16-May-94     2286.12   2290.41    2271.6    2290.41
    17-May-94     2290.41   2304.49   2285.82    2304.49
    18-May-94     2304.49   2326.72   2304.49    2323.16
    19-May-94     2323.16   2331.01   2318.12     2329.6
    20-May-94      2329.6   2338.72   2324.57    2337.01
    23-May-94     2338.05   2348.57   2333.16    2339.31
    24-May-94     2339.31   2339.31   2300.64    2302.86
    26-May-94     2302.86   2316.69   2302.56     2315.2
    27-May-94     2316.69   2323.95   2313.43    2323.95
    30-May-94      2323.5    2323.5   2301.94    2305.89
    31-May-94     2305.89   2316.62   2277.57    2281.67
     1-Jun-94     2280.18   2281.37   2261.55    2267.88
     2-Jun-94     2267.88   2274.89   2248.96    2252.38
     3-Jun-94     2251.79    2268.7   2251.79     2268.7
     6-Jun-94     2271.68   2281.18   2271.68    2271.91
     7-Jun-94      2274.9    2280.1   2262.07    2267.21
     8-Jun-94     2267.21   2270.94   2262.22    2265.65
     9-Jun-94     2265.65   2282.34   2256.56    2282.34
    10-Jun-94     2283.83   2286.81    2265.5    2284.13
    13-Jun-94     2284.12   2309.59   2284.12    2295.92
    14-Jun-94     2295.92   2297.72      2273     2278.3
    15-Jun-94     2279.05   2286.51   2270.76    2286.51
    16-Jun-94     2286.51    2289.2   2267.32    2287.34
    17-Jun-94     2288.23   2306.23   2278.82    2306.23
    20-Jun-94     2306.23   2306.23   2283.38     2284.5
    21-Jun-94      2283.9    2283.9   2258.21    2261.87
    22-Jun-94     2261.57   2261.57   2247.98     2255.3
    23-Jun-94      2255.3   2258.29   2247.16    2250.45
    24-Jun-94     2250.45   2255.82   2242.53    2245.82
    27-Jun-94     2245.82   2245.82   2196.98    2208.71
    28-Jun-94     2208.71   2230.29    2199.9     2227.6
    29-Jun-94      2227.6   2233.72   2211.17    2218.41
    30-Jun-94     2218.41   2231.56   2216.92    2224.91
     1-Jul-94     2224.91   2224.91    2193.1    2210.65
     4-Jul-94     2210.65   2210.65   2186.31    2191.16
     5-Jul-94     2191.16   2195.56   2187.95    2187.95
     6-Jul-94     2187.95   2187.95   2162.88    2162.88
     7-Jul-94     2161.38   2161.38   2143.61    2146.01
     8-Jul-94     2156.05   2162.94   2153.35    2162.94
    11-Jul-94     2165.94   2168.04   2151.25    2151.25
    12-Jul-94      2151.1   2161.59    2151.1    2159.35
    13-Jul-94     2159.35   2183.93   2159.35    2183.93
    14-Jul-94     2183.93   2200.57   2183.03    2189.78
    15-Jul-94     2189.03   2204.17   2189.03    2198.32
    18-Jul-94     2199.82   2210.01   2193.15    2199.15
    19-Jul-94     2199.15   2209.04   2195.25    2204.92
    20-Jul-94     2204.92   2231.67   2202.67    2231.37
    21-Jul-94     2231.37   2231.37   2203.42    2208.51
    22-Jul-94     2208.51   2208.51   2196.97    2199.22
    25-Jul-94     2199.22   2214.06   2198.02    2212.26
    26-Jul-94     2212.26   2212.26   2200.72    2206.04
    27-Jul-94     2205.74   2207.09    2195.7    2201.39
    28-Jul-94     2202.89   2204.39   2197.65    2201.24
    29-Jul-94     2201.99   2216.08   2201.99    2206.42
     1-Aug-94     2208.36   2243.89   2208.36    2243.89
     2-Aug-94     2244.04   2269.82   2244.04     2263.3
     3-Aug-94      2264.8   2270.87   2262.18    2267.13
     4-Aug-94     2267.43   2271.17   2256.63    2271.17
     5-Aug-94     2272.07   2274.32   2263.38    2273.12
     8-Aug-94     2273.12   2276.72   2266.38    2267.65
    10-Aug-94     2267.65    2276.5   2255.58     2276.5
    11-Aug-94      2276.5   2300.03    2276.5    2300.03
    12-Aug-94     2300.03   2317.79   2285.19    2317.79
    15-Aug-94     2318.09   2324.54   2290.66    2301.75
    16-Aug-94     2301.75   2313.52   2292.31    2308.57
    17-Aug-94     2308.57    2344.4   2308.57     2344.4
    18-Aug-94     2344.25   2358.57   2344.25    2357.97
    19-Aug-94     2358.12   2358.12   2333.68    2347.17
    22-Aug-94     2347.62   2350.47   2320.94    2320.94
    23-Aug-94     2320.94   2324.54   2300.18    2302.88
    24-Aug-94     2302.88   2311.72   2278.82    2278.82
    25-Aug-94     2278.82   2298.91   2278.82    2287.21
    26-Aug-94     2287.21   2293.51    2273.5    2293.51
    29-Aug-94     2293.51   2305.88   2293.51     2305.8
    30-Aug-94      2305.8    2305.8   2295.76    2299.51
    31-Aug-94     2299.51   2315.69   2299.51     2312.7
     1-Sep-94     2315.69   2339.98   2315.69    2336.83
     2-Sep-94     2342.83   2342.83   2329.64    2330.61
     5-Sep-94     2335.56   2335.86   2315.92    2328.06
     6-Sep-94     2328.21   2338.55   2327.76    2338.55
     7-Sep-94     2338.55   2339.15   2321.24    2327.01
     8-Sep-94     2327.01   2327.01   2303.25    2304.23
     9-Sep-94     2304.68    2311.2   2294.03    2299.96
    12-Sep-94     2299.96   2299.96      2275    2280.39
    13-Sep-94     2280.39    2310.3   2280.09    2299.66
    14-Sep-94     2296.66   2302.05   2293.81    2298.31
    15-Sep-94     2298.46    2300.4   2275.75    2280.84
    16-Sep-94     2281.44   2297.18   2281.22    2297.18
    19-Sep-94     2297.18   2297.18   2271.85    2271.85
    20-Sep-94      2272.9   2296.21    2272.9    2296.21
    21-Sep-94     2296.66   2296.66   2278.82    2289.69
    22-Sep-94     2292.09   2292.09   2282.27    2286.09
    23-Sep-94     2289.54   2302.05   2287.59    2302.05
    26-Sep-94     2303.55   2304.15   2292.46    2299.81
    27-Sep-94     2304.15   2307.45   2289.84    2289.84
    28-Sep-94     2290.29   2330.69   2290.29    2330.69
    29-Sep-94     2331.43   2362.24   2331.43     2348.9
    30-Sep-94      2348.9    2348.9   2330.83    2332.63
     3-Oct-94     2334.43   2348.52   2334.43    2348.52
     4-Oct-94     2348.52   2373.11   2347.17    2370.56
     5-Oct-94     2374.31   2380.83   2360.29    2380.83
     6-Oct-94     2384.28   2384.28   2333.31    2333.31
     7-Oct-94     2333.31    2341.7   2320.49    2330.09
    10-Oct-94     2330.09   2330.09   2296.96    2302.28
    11-Oct-94     2303.48   2350.17   2303.48    2345.23
    12-Oct-94     2345.83   2369.36   2345.83    2368.31
    13-Oct-94     2365.16   2369.96   2347.47    2357.82
    14-Oct-94     2362.31    2377.9   2353.47     2377.3
    17-Oct-94      2377.3   2395.37   2376.03    2387.57
    18-Oct-94     2387.72    2387.8   2377.45    2383.98
    19-Oct-94     2383.98   2383.98   2362.09    2364.11
    20-Oct-94     2367.26   2382.25   2364.86    2382.25
    21-Oct-94     2381.95   2381.95   2370.86    2377.45
    24-Oct-94     2374.46    2383.3   2369.21    2376.86
    25-Oct-94     2373.86   2375.66   2362.54    2362.54
    26-Oct-94     2362.54   2364.79   2356.24    2357.29
    27-Oct-94     2359.39   2363.89   2353.02    2356.69
    28-Oct-94      2350.7   2370.33    2350.7    2362.46
    31-Oct-94     2362.46   2388.25   2362.46    2379.03
     1-Nov-94     2379.03   2379.03   2364.19    2364.19
     3-Nov-94     2363.44   2364.34   2340.43     2352.2
     4-Nov-94      2352.2   2366.51      2351     2352.5
     7-Nov-94      2352.8    2352.8   2324.16    2331.66
     8-Nov-94     2331.66   2335.56   2324.09    2327.01
     9-Nov-94     2327.01   2345.38   2324.46     2344.4
    10-Nov-94     2346.65   2350.47   2326.41    2329.94
    11-Nov-94     2329.94   2329.94   2309.85    2322.59
    14-Nov-94     2322.59   2333.31   2322.59    2326.94
    15-Nov-94     2328.44    2347.1   2328.44    2341.18
    16-Nov-94     2341.18   2353.92   2341.18     2346.5
    17-Nov-94     2348.15   2358.94    2347.1    2357.97
    18-Nov-94     2357.97   2361.42   2348.37    2354.67
    21-Nov-94     2354.67   2354.82   2321.99    2321.99
    22-Nov-94     2322.29   2322.29   2248.01    2270.05
    23-Nov-94      2268.4    2268.4   2182.66    2217.81
    24-Nov-94     2217.81   2244.64   2217.81     2236.4
    25-Nov-94      2235.5   2240.29   2228.38    2237.75
    28-Nov-94     2237.75   2254.83   2237.75    2237.97
    29-Nov-94     2237.52   2251.31    2230.7     2232.8
    30-Nov-94      2232.8   2242.09   2224.85    2242.09
     1-Dec-94     2242.09   2246.21   2229.28    2229.35
     2-Dec-94     2227.85   2227.85   2186.17    2189.02
     5-Dec-94     2189.02   2207.04   2185.57    2185.57
     6-Dec-94     2185.57   2196.31   2184.67    2187.07
     7-Dec-94     2187.07   2187.07   2171.37    2180.38
     8-Dec-94     2180.38   2180.53   2137.88    2139.68
     9-Dec-94     2134.88   2134.88   2078.33    2102.28
    12-Dec-94     2102.43   2108.07   2085.84    2091.69
    13-Dec-94     2091.54   2103.94   2089.14    2089.14
    14-Dec-94     2089.14   2117.98   2089.14       2114
    15-Dec-94     2120.61   2180.23   2120.61    2180.23
    16-Dec-94     2180.23   2180.84   2154.48    2169.72
    19-Dec-94     2173.02    2195.7   2173.02    2185.19
    20-Dec-94     2185.19   2185.49   2179.26    2183.46
    21-Dec-94     2186.47   2221.24   2180.91    2217.48
    22-Dec-94     2221.99   2242.57   2218.23    2219.59
    23-Dec-94     2219.59   2219.89   2211.47    2219.29
    27-Dec-94     2217.78   2234.68   2217.78    2227.25
    28-Dec-94      2229.5   2234.91   2221.99    2234.15
    29-Dec-94     2235.66   2243.02   2223.49    2243.02
    30-Dec-94     2243.84   2243.84   2231.53    2239.56
     3-Jan-95     2239.56   2246.25   2235.28    2246.25
     4-Jan-95     2246.25   2246.25   2235.28    2244.14
     5-Jan-95     2244.74    2248.2   2231.68    2231.68
     6-Jan-95     2232.13   2237.38   2207.27    2209.37
     9-Jan-95     2210.72   2210.72   2181.66    2181.66
    10-Jan-95     2181.66   2181.66   2131.42     2137.2
    11-Jan-95      2137.2    2153.8    2137.2    2145.69
    12-Jan-95     2145.69   2145.69   2102.21    2102.36
    13-Jan-95     2103.86   2103.86   2071.79    2080.73
    16-Jan-95     2081.48   2119.63   2081.48    2107.39
    17-Jan-95     2107.39   2125.49   2106.04    2106.04
    18-Jan-95     2106.04   2106.04    2095.3    2103.56
    19-Jan-95     2103.56   2103.56   2068.26    2081.33
    20-Jan-95     2082.98   2082.98    2018.1    2028.61
    23-Jan-95      2018.1    2018.1   1916.94    1916.94
    24-Jan-95     1908.68   1927.46   1908.08    1919.12
    25-Jan-95     1920.62   1965.08    1903.8    1962.68
    26-Jan-95     1962.68    2000.9   1962.68     2000.9
    27-Jan-95      2000.9   2041.83   1998.95       2035
    30-Jan-95        2035   2083.36      2035    2083.36
     2-Feb-95     2083.36   2100.93   2083.36    2100.93
     3-Feb-95     2100.93   2131.95   2100.93    2110.24
     6-Feb-95     2110.24    2131.5   2086.21    2124.89
     7-Feb-95     2124.59   2141.03    2114.9     2118.8
     8-Feb-95      2119.1    2119.1   2085.54    2091.62
     9-Feb-95     2091.62   2096.95   2082.76    2085.01
    10-Feb-95     2085.01   2098.15   2070.29    2074.05
    13-Feb-95     2074.65   2100.56   2074.65    2093.12
    14-Feb-95     2096.12   2096.12   2084.18    2089.07
    15-Feb-95     2089.29   2107.69   2084.64    2107.69
    16-Feb-95      2115.2   2131.42    2115.2    2131.05
    17-Feb-95     2133.07   2137.13   2124.81    2137.13
    20-Feb-95     2137.13   2137.13   2116.78    2116.78
    21-Feb-95     2115.27   2115.27   2101.38    2105.14
    22-Feb-95     2105.14   2110.17   2053.32    2053.32
    23-Feb-95     2054.82   2086.96   2054.82    2085.84
    24-Feb-95     2087.34   2127.82   2087.34    2114.52
    27-Feb-95     2112.72   2112.72   2021.93     2094.1
    28-Feb-95      2094.1   2126.69   2086.29    2126.69
     1-Mar-95     2126.69   2135.48   2116.25    2128.42
     2-Mar-95     2127.52   2138.25   2126.69       2133
     6-Mar-95      2137.5   2143.81   2119.18    2126.99
     7-Mar-95     2127.44   2127.44   2098.53    2098.53
     8-Mar-95     2099.13   2099.13   2057.67    2063.38
     9-Mar-95     2064.58   2079.53   2064.58    2070.74
    10-Mar-95     2070.74   2076.15   2061.28    2061.28
    13-Mar-95     2062.03   2066.84   2061.88    2063.53
    14-Mar-95     2063.53   2066.09   2048.66    2060.38
    15-Mar-95     2061.88   2076.52   2061.88    2076.52
    16-Mar-95     2076.98   2079.23   2073.37    2075.92
    17-Mar-95     2077.43   2101.83   2077.43    2101.83
    20-Mar-95     2101.83    2112.8   2091.54    2091.54
    21-Mar-95     2094.85   2094.85   2084.48    2089.07
    22-Mar-95     2089.67   2090.64   2078.85    2081.03
    23-Mar-95     2081.03   2086.06   2077.05    2078.55
    24-Mar-95     2078.25   2078.25   2050.54    2056.55
    27-Mar-95     2056.55   2090.57   2055.87    2090.57
    28-Mar-95     2091.77   2106.34   2091.47    2104.24
    29-Mar-95     2078.85   2122.41   2077.95    2122.41
    30-Mar-95     2120.91   2121.43   2098.98    2101.83
    31-Mar-95     2101.83   2111.44   2088.39    2093.12
     3-Apr-95     2093.12   2093.12   2070.74    2074.65
     4-Apr-95      2075.1   2084.18   2074.05    2074.05
     5-Apr-95     2074.05   2105.21   2074.05    2101.16
     6-Apr-95     2102.66   2105.51   2087.11    2095.07
     7-Apr-95     2096.58   2096.58   2072.32    2073.75
    10-Apr-95     2070.74    2075.7   2064.58    2064.66
    11-Apr-95     2064.66   2066.76    2054.6     2054.6
    12-Apr-95      2054.6    2069.6    2054.6     2062.5
    13-Apr-95      2062.5   2071.42   2062.12    2071.42
    17-Apr-95     2066.88   2069.45   2053.73    2053.73
    18-Apr-95     2053.73   2058.87   2046.55    2051.09
    19-Apr-95     2048.07   2048.07   2032.35    2035.67
    20-Apr-95     2037.79   2046.25   2029.02     2039.3
    21-Apr-95     2041.41   2113.51   2040.05     2079.5
    24-Apr-95     2076.48   2088.35   2076.48    2085.55
    25-Apr-95     2085.55   2087.36      2073    2074.67
    26-Apr-95     2075.27    2078.6   2062.65    2063.63
    27-Apr-95     2065.21   2074.22   2049.58       2056
    28-Apr-95     2063.56   2071.27   2055.77    2071.27
     2-May-95     2070.06   2072.32   2056.98    2070.51
     3-May-95     2072.02   2072.78   2062.12    2066.35
     4-May-95     2067.11   2069.98   2065.83    2069.98
     5-May-95     2069.98   2069.98   2056.08     2058.8
     8-May-95     2059.25   2075.88   2058.42    2075.88
     9-May-95     2077.39    2098.7   2075.42     2091.9
    11-May-95     2094.47   2173.07   2094.47     2164.6
    12-May-95     2170.19    2210.4   2170.19    2179.87
    16-May-95     2180.62   2199.29   2176.47    2193.77
    17-May-95     2191.96   2204.73   2158.93    2160.29
    18-May-95     2159.08   2167.09   2152.66    2163.47
    19-May-95     2164.98   2164.98    2144.5    2158.93
    22-May-95     2158.93   2162.71   2150.39    2150.39
    23-May-95     2154.93   2182.29   2154.93    2181.08
    24-May-95     2184.85   2194.07   2168.08    2172.69
    25-May-95     2172.69   2172.69   2164.07    2172.08
    26-May-95     2172.54      2177   2163.24    2163.24
    29-May-95     2158.71   2163.39    2154.4     2154.4
    30-May-95     2159.39    2171.1   2157.72    2162.48
    31-May-95     2157.95   2178.36   2157.95    2178.36
     1-Jun-95     2179.72   2216.29   2179.72    2205.03
     2-Jun-95     2205.64   2211.61   2199.21    2208.51
     5-Jun-95     2209.87   2218.03   2209.64    2218.03
     6-Jun-95     2218.03   2218.94   2190.98    2190.98
     7-Jun-95        2194      2194   2169.89    2179.11
     8-Jun-95     2179.87   2180.77   2164.15    2175.48
     9-Jun-95     2173.97   2174.58   2144.72    2160.44
    12-Jun-95     2160.44   2160.44   2138.98    2140.72
    13-Jun-95     2143.29   2157.04   2138.23    2138.23
    14-Jun-95     2138.23   2150.62   2138.23    2138.23
    15-Jun-95     2138.23   2153.79   2138.23    2153.79
    16-Jun-95     2156.82   2156.97   2133.31    2133.31
    19-Jun-95     2136.34   2136.34   2126.96     2128.1
    20-Jun-95     2132.03   2134.52   2116.54    2116.54
    21-Jun-95     2115.02   2123.56   2106.94    2120.54
    22-Jun-95     2117.52   2117.52    2102.4     2102.4
    23-Jun-95     2104.82   2109.96   2101.65    2102.78
    26-Jun-95     2094.62      2114   2063.03     2092.9
    27-Jun-95     2093.67    2106.3   2080.65    2098.68
    28-Jun-95     2101.76   2106.22   2088.51    2088.51
    29-Jun-95     2088.51   2090.66   2078.96    2081.96
    30-Jun-95      2087.2   2107.46   2084.58    2093.21
     3-Jul-95     2094.75   2098.83   2091.05    2094.05
     4-Jul-95     2094.52   2123.25   2094.52    2121.48
     5-Jul-95     2121.48   2132.72   2121.48    2128.25
     6-Jul-95     2128.87   2162.92   2128.87    2133.65
     7-Jul-95     2138.11   2164.07   2138.11    2159.99
    10-Jul-95        2165   2187.64      2165    2185.95
    11-Jul-95      2186.8    2190.8   2167.39    2171.78
    12-Jul-95     2171.01   2179.56   2167.31     2176.4
    13-Jul-95     2177.01   2190.34   2174.01    2179.79
    14-Jul-95     2180.71   2188.34   2179.48    2188.34
    17-Jul-95     2188.34   2189.26   2172.39    2172.39
    18-Jul-95     2172.39   2175.32   2163.77    2163.77
    19-Jul-95     2166.46   2166.46   2142.12    2145.89
    20-Jul-95     2145.89   2158.37   2128.18    2151.98
    21-Jul-95      2147.2   2164.61    2147.2    2150.05
    24-Jul-95     2150.82   2151.52   2137.34    2139.73
    25-Jul-95      2140.5    2157.6    2140.5    2153.14
    26-Jul-95     2155.14   2162.61   2153.29    2153.29
    27-Jul-95     2153.29    2164.3   2153.29    2162.38
    28-Jul-95     2162.38   2185.87   2160.38    2185.87
    31-Jul-95     2186.18   2186.18   2156.37    2156.37
     1-Aug-95     2160.22   2160.68   2139.81    2140.81
     2-Aug-95     2140.81   2152.98   2137.19    2152.98
     3-Aug-95     2152.98   2154.37   2123.94    2132.18
     4-Aug-95     2126.79   2127.41   2104.61    2110.54
     7-Aug-95        2109   2109.31   2096.44    2096.44
     8-Aug-95     2097.98   2104.53   2082.11    2090.28
    10-Aug-95     2088.74   2099.37   2086.04    2099.37
    11-Aug-95     2099.37   2106.69    2077.8     2077.8
    14-Aug-95      2077.8   2082.73   2062.09    2064.09
    15-Aug-95     2064.55   2077.18   2055.23    2062.55
    16-Aug-95     2062.55   2067.94   2045.14    2053.23
    17-Aug-95     2051.69   2077.72   2051.69    2075.57
