STANDARD & POORS 500
                   O         H         L          C
    17-Feb-94      472.79    475.13    468.26     470.34
    18-Feb-94      470.29    471.09    466.07     467.69
    22-Feb-94      467.69    471.65    467.58     471.46
    23-Feb-94      471.48    472.41    469.47     470.69
    24-Feb-94      470.65    470.69    464.26     464.26
    25-Feb-94      464.33    466.48    464.26     466.07
    28-Feb-94      466.07    469.16    466.07     467.14
     1-Mar-94      467.19    467.43    462.02     464.44
     2-Mar-94       464.4    464.88    457.67     464.81
     3-Mar-94      464.81    464.83     462.5     463.01
     4-Mar-94      463.03    466.16    462.41     464.74
     7-Mar-94      464.74    468.07    464.74     466.91
     8-Mar-94      466.92    467.79    465.02     465.88
     9-Mar-94      465.94    467.42     463.4     467.06
    10-Mar-94      467.08    467.29    462.46      463.9
    11-Mar-94      463.86    466.61    462.54     466.44
    14-Mar-94      466.44     467.6    466.08     467.39
    15-Mar-94      467.36    468.99    466.04     467.01
    16-Mar-94      467.04    469.85    465.48     469.42
    17-Mar-94      469.42    471.05    468.62      470.9
    18-Mar-94      470.89    471.09    467.83     471.06
    21-Mar-94      471.06    471.06    467.23     468.54
    22-Mar-94       468.4    470.47    467.88      468.8
    23-Mar-94      468.89    470.38    468.52     468.54
    24-Mar-94      468.57    468.57    462.41     464.35
    25-Mar-94      464.35    465.29    460.58     460.58
    28-Mar-94      460.58    461.12     456.1        460
    29-Mar-94      460.03    460.32    452.43     452.48
    30-Mar-94       452.4    452.49    445.55     445.55
    31-Mar-94      445.55    447.16    436.16     445.77
     4-Apr-94      445.66    445.77    435.86     438.92
     5-Apr-94      439.14    448.29    438.92     448.29
     6-Apr-94      448.29    449.63    444.98     448.05
     7-Apr-94      448.11     451.1    446.38     450.88
     8-Apr-94      450.89    450.89    445.51      447.1
    11-Apr-94      447.12    450.34     447.1     449.87
    12-Apr-94      449.83     450.8    447.33     447.57
    13-Apr-94      447.63    448.57    442.62     446.26
    14-Apr-94      446.26    447.55    443.57     446.38
    15-Apr-94      446.38    447.85    445.81     446.18
    18-Apr-94      446.27    447.87    441.48     442.46
    19-Apr-94      442.54    444.82    438.83     442.54
    20-Apr-94      442.54    445.01     439.4     441.96
    21-Apr-94      441.96    449.14    441.96     448.73
    22-Apr-94      448.73    449.96    447.16     447.63
