Walt Disney Company (DIS)					
Daily prices (3/29/96 to 3/29/99)					
DATE   	OPEN	HIGH   	LOW   	CLOSE   	VOLUME
3/29/99	33.0625	33.188	32.75	33.063	6320500
3/26/99	33.3125	33.375	32.75	32.938	5552800
3/25/99	33.5	33.625	32.875	33.375	7936000
3/24/99	33.0625	33.25	32.625	33.188	6025400
3/23/99	34.125	34.188	32.813	33.188	9791700
3/22/99	34.9375	35	34.25	34.375	4339400
3/19/99	35.75	35.813	34.875	35.063	5565000
3/18/99	34.8125	35.688	34.688	35.438	5310300
3/17/99	35.25	35.563	34.5	34.5	4217700
3/16/99	35.75	36.438	35.063	35.063	4199000
3/15/99	36.125	36.563	35.125	35.875	5562600
3/12/99	35.625	36.438	35.625	36.063	8735000
3/11/99	34.125	34.938	34.125	34.688	5355500
3/10/99	34.6875	35.063	34.375	34.5	5576300
3/9/99	35.75	35.813	34.313	34.688	8296400
3/8/99	35.9375	36.688	35.938	36.438	6051500
3/5/99	35.8125	36	35.563	35.813	5231500
3/4/99	34.625	35.313	34.563	35.188	5113000
3/3/99	34.5625	35.125	34.375	34.5	4937600
3/2/99	35.1875	35.188	34.063	34.188	4333000
3/1/99	35.25	35.25	34.563	34.813	4610100
2/26/99	34.625	35.688	34.063	35.188	5763600
2/25/99	35	35.25	34.063	34.5	5337600
2/24/99	35	36	34.938	35.063	6158900
2/23/99	35.1875	35.5	34.875	34.875	4961800
2/22/99	34.125	35.125	34.125	34.875	5443900
2/19/99	34.25	34.5	34	34.125	3174600
2/18/99	34.6875	34.875	34.25	34.5	4827200
2/17/99	34.75	35.25	34.563	34.875	4469700
2/16/99	35.9375	36	34.625	35.063	4995400
2/15/99	NaN	NaN   	NaN   	NaN   	NaN
2/12/99	35.4375	35.563	34.563	35.438	6648300
2/11/99	34	35.5	33.813	35.188	6540000
2/10/99	33.625	34.188	33.313	34.063	6062300
2/9/99	34.1875	34.625	33.438	33.5	5770800
2/8/99	34.25	34.25	33.813	34	4816700
2/5/99	33.875	34.688	33.563	34.25	7360000
2/4/99	33.625	34.063	33	33.125	5819300
2/3/99	33.375	33.875	33.25	33.625	6590700
2/2/99	33.5	33.688	32.813	33.375	5984400
2/1/99	33.8125	33.938	33.25	33.688	6192100
1/29/99	33.6875	34	33	33	8863600
1/28/99	33.9375	34.375	33.313	33.5	12114700
1/27/99	34.25	34.375	32.688	32.938	11624900
1/26/99	34.9375	35.375	34.188	34.563	5673800
1/25/99	34.1875	35	34.063	34.938	4115900
1/22/99	34.125	34.563	34	34.125	5052700
1/21/99	35.9375	36	34.125	34.563	7454700
1/20/99	36.8125	36.938	35.875	36	7425400
1/19/99	36	36.625	35.813	36.5	7027800
1/18/99	NaN	NaN   	NaN   	NaN   	NaN
1/15/99	36.5625	36.688	35.625	36	6522200
1/14/99	36.75	37.25	35.813	36.063	7512600
1/13/99	34.5	37.375	34.375	36.125	15589600
1/12/99	38.375	38.688	37.188	38	21269500
1/11/99	33.125	35.5	33.063	35.25	17295400
1/8/99	32.3125	32.813	31.813	32.563	10678400
1/7/99	30.0625	31.75	30	31.75	10966100
1/6/99	30.5625	31	29.75	30.938	10469900
1/5/99	29.75	30.625	29.688	30.563	6219000
1/4/99	30.1875	30.688	29.25	29.563	7105100
1/1/99	NaN	NaN   	NaN   	NaN   	NaN
12/31/98	29.875	30.125	29.563	30	5576200
12/30/98	30.5	30.5	29.75	29.875	5089600
12/29/98	30.625	30.688	30.25	30.438	4482600
12/28/98	30.875	31	30.25	30.438	4603500
12/25/98	NaN	NaN   	NaN   	NaN   	NaN
12/24/98	30.875	31	30.5	30.563	1802100
12/23/98	30.4375	31	30.188	30.938	5853100
12/22/98	30.625	32.688	29.938	29.938	6720000
12/21/98	30.75	31.375	30.313	31	5798800
12/18/98	30.875	30.938	30.063	30.813	6180200
12/17/98	30.75	31.188	30.75	30.875	3596400
12/16/98	31.1875	31.438	30.563	30.75	4255800
12/15/98	31	31.375	30.688	30.75	5353300
12/14/98	31.3125	31.5	30.125	30.625	5379500
12/11/98	32.0625	32.063	31.438	32	4625200
12/10/98	33.5625	33.688	32.25	32.438	5538100
12/9/98	32.1875	33.75	32.063	33.563	7023900
12/8/98	31.375	32.375	31.313	32	5991500
12/7/98	31.375	31.938	30.875	31.125	4461300
12/4/98	31.4375	31.75	31.25	31.375	3897400
12/3/98	31.375	31.938	30.813	30.875	4522600
12/2/98	31.3125	31.438	30.688	31.188	4573100
12/1/98	31.875	32	31.125	31.5	6314700
11/30/98	32.4375	33.125	31.563	32.188	9255900
11/27/98	31	32.125	30.813	31.875	4346800
11/26/98	NaN	NaN   	NaN   	NaN   	NaN
11/25/98	29.8125	30.938	29.625	30.938	6328000
11/24/98	29.6875	30.875	29.5	29.813	10180500
11/23/98	28.6875	29.5	28.625	29.5	6840400
11/20/98	28.4375	28.688	28.125	28.5	6064700
11/19/98	28.4375	28.875	28.125	28.313	6971000
11/18/98	28.5625	29.125	28.25	29	5424200
11/17/98	29.0625	29.25	28.563	29.063	4901000
11/16/98	29.3125	29.813	28.875	29.063	5027700
11/13/98	28.75	29.375	28.25	29.125	4284700
11/12/98	28.6875	28.813	28.125	28.563	4169400
11/11/98	29.0625	29.313	28.813	28.875	4330500
11/10/98	29.1875	29.375	28.688	28.875	6401200
11/9/98	30.5	30.625	29.313	29.563	4894600
11/6/98	30.0625	30.625	29.813	30.25	5998000
11/5/98	28.4375	30.188	27.938	30.188	7052800
11/4/98	30	30.25	28.563	28.625	8737300
11/3/98	28.9375	29.75	28.875	29.563	8424300
11/2/98	27.5	29.125	27.438	28.813	7245500
10/30/98	26.8125	27.313	26.563	26.938	4852700
10/29/98	26.75	26.875	26.125	26.625	3773100
10/28/98	27	27.063	25.75	26.438	5660900
10/27/98	27.75	27.75	26.75	26.813	5973800
10/26/98	27.9375	28	27.5	27.938	3370900
10/23/98	27.8125	27.813	27.063	27.75	3865400
10/22/98	27.8125	28	27.063	28	3612500
10/21/98	27.125	27.75	26.938	27.563	5090900
10/20/98	26.375	27.5	26.188	27.063	7846200
10/19/98	25.125	26.063	25.125	26.063	5078600
10/16/98	25.9375	26	25.125	25.5	6396000
10/15/98	24.4375	26	24.188	25.875	5209700
10/14/98	25.125	25.625	24.25	24.375	5239700
10/13/98	24.5	25.625	24.188	25.5	4857300
10/12/98	24.75	25.063	24.438	24.625	4518900
10/9/98	23.75	23.813	22.5	23.688	6133200
