DOW JONES
                  O         H         L          C
     4-Apr-94     3552.18   3633.08    3520.8    3593.35
     5-Apr-94      3649.5   3698.15   3625.02    3675.41
     6-Apr-94     3683.18   3722.24   3643.16    3679.73
     7-Apr-94      3685.2   3712.83   3642.59    3693.26
     8-Apr-94     3683.47   3717.15   3644.03    3674.26
    11-Apr-94     3681.69   3720.66   3651.35    3688.83
    12-Apr-94     3700.73   3722.14   3661.17    3681.69
    13-Apr-94      3680.5    3704.3   3616.85    3661.47
    14-Apr-94     3650.46   3693.59   3625.77    3663.25
    15-Apr-94     3660.57   3699.24   3631.13    3661.47
    18-Apr-94     3661.17   3679.61   3593.35    3620.42
    19-Apr-94     3620.12   3670.39   3567.18    3619.82
    20-Apr-94     3637.08   3662.66   3546.65    3598.71
    21-Apr-94      3622.5   3673.96   3582.94    3652.54
    22-Apr-94     3662.95   3690.32   3621.01    3648.68
    25-Apr-94     3656.41   3721.25   3635.29    3705.78
    26-Apr-94     3710.84   3733.15   3669.79    3699.54
    28-Apr-94     3707.27   3723.93   3640.35    3668.31
    29-Apr-94     3664.14   3707.87   3642.13    3681.69
