DOW JONES
                  O         H         L          C
     1-Jun-94     3753.14   3785.14   3717.76    3760.83
     2-Jun-94     3770.68    3791.6   3732.83    3758.99
     3-Jun-94     3749.14   3792.22   3732.52    3772.22
     6-Jun-94     3782.37   3812.83   3749.75    3768.52
     7-Jun-94     3758.06   3788.52   3733.14    3755.91
     8-Jun-94     3765.75   3780.83   3721.45    3749.45
     9-Jun-94     3742.37   3776.83   3721.43    3753.14
    10-Jun-94     3758.99   3798.68    3739.6    3773.45
    13-Jun-94     3764.41   3808.17   3741.26    3783.12
    14-Jun-94     3790.09   3839.88   3769.17    3814.83
    15-Jun-94     3817.05   3838.29   3772.02    3790.41
    16-Jun-94     3785.65   3830.68   3771.39    3811.34
    17-Jun-94     3807.53   3821.48   3764.09    3776.78
    20-Jun-94     3741.58   3771.07   3716.21     3741.9
    21-Jun-94     3733.97    3756.8   3674.68    3707.97
    22-Jun-94     3722.24   3748.87   3694.65    3724.77
    23-Jun-94     3725.09   3752.04   3685.14    3699.09
    24-Jun-94     3690.85    3704.8   3616.65    3636.94
    27-Jun-94     3622.05   3694.89   3603.92     3685.5
    28-Jun-94     3686.48   3705.58   3630.47    3669.64
    29-Jun-94     3673.53   3711.73   3645.68    3667.05
    30-Jun-94     3668.99   3683.56   3610.72    3624.96
