DOW JONES MAR94
                  O         H         L          C
     4-Mar-94      3830.9   3868.04    3800.5     3832.3
     7-Mar-94     3851.72    3882.4   3824.71    3856.22
     8-Mar-94     3858.48   3881.55   3822.45    3851.72
     9-Mar-94     3853.97   3874.52   3817.95    3853.41
    10-Mar-94     3852.57   3865.51   3801.63    3830.62
    11-Mar-94     3832.58   3872.83   3806.69     3862.7
    14-Mar-94     3870.29   3894.21   3835.96    3862.98
    15-Mar-94     3863.41   3888.46   3826.85    3849.59
    16-Mar-94     3851.03   3879.53   3819.94    3848.15
    17-Mar-94     3853.62   3891.34   3821.66    3865.14
    18-Mar-94     3865.42   3911.78   3838.65    3895.65
    21-Mar-94     3878.38   3898.25   3838.65    3864.85
    22-Mar-94     3865.71   3896.23   3840.66    3862.55
    23-Mar-94     3868.88   3901.41    3839.8    3869.46
    24-Mar-94     3849.88   3865.42   3792.58    3821.09
    25-Mar-94     3827.13   3826.85   3774.73    3774.73
    28-Mar-94     3776.46   3793.45   3719.74    3762.35
    29-Mar-94     3757.17   3771.86   3689.23    3699.02
    30-Mar-94     3688.36   3718.88   3612.36    3626.75
    31-Mar-94     3639.71    3673.1   3544.12    3635.96
