DOW JONES
                  O         H         L          C
     2-May-94     3683.77   3734.04   3648.97    3701.02
     3-May-94     3709.65   3736.12   3669.79    3714.41
     4-May-94        3715   3730.17   3670.09    3697.75
     5-May-94     3707.27   3731.07   3675.45    3695.97
     6-May-94     3663.84   3702.51   3625.77     3669.5
     9-May-94     3648.97   3676.93   3612.39    3629.04
    10-May-94     3658.49   3684.67   3627.56    3656.41
    11-May-94     3660.57   3678.42   3609.71    3629.04
    12-May-94     3651.06   3682.58   3624.58    3652.84
    13-May-94     3659.98   3690.32   3626.37    3659.68
    16-May-94     3653.08   3694.21   3628.52     3671.5
    17-May-94     3669.66   3735.04    3653.7    3720.61
    18-May-94     3727.98   3761.74   3683.16    3732.89
    19-May-94     3729.51   3782.92   3707.72    3758.98
    20-May-94     3752.23   3788.76   3721.84    3766.35
    23-May-94     3743.63   3770.65    3711.4    3742.41
    24-May-94     3743.63    3786.3   3707.11    3745.17
    25-May-94     3736.88   3768.19   3710.79     3755.3
    26-May-94     3754.68   3785.07   3722.76    3753.46
    27-May-94     3739.03   3772.18   3723.68    3757.14
    31-May-94     3746.37   3783.29   3725.45    3758.37
