Whirlpool	(WHR)				
Dates	Open	High	Low	Close	Volume
1/3/95	50.25	50.875	50.125	50.375	159000
1/4/95	50	50.125	49.625	49.75	365800
1/5/95	50	50	49.25	49.875	410500
1/6/95	50	50.25	49.875	50.25	192900
1/9/95	49.875	50.375	49.625	50.375	180800
1/10/95	51.25	51.25	50.25	50.25	157800
1/11/95	50.375	50.625	49.75	49.75	266000
1/12/95	49.875	50.125	49.25	49.875	70000
1/13/95	50	50.25	49.75	50.125	128000
1/16/95	50.25	50.375	50	50	228200
1/17/95	51	51	50	50.625	196200
1/18/95	50.5	51	50.125	50.125	369700
1/19/95	50.25	50.5	50	50.5	254300
1/20/95	50.5	51.25	50.5	50.5	183400
1/23/95	49.875	50.375	49.75	50	250400
1/24/95	50	50.25	49.75	50	190600
1/25/95	50.375	50.75	49.875	50.5	175500
1/26/95	50.125	51.25	50	50.125	185000
1/27/95	50.375	50.875	50.25	50.5	122700
1/30/95	50.5	50.625	49.625	49.75	240700
1/31/95	49.5	50.125	49.375	49.875	291500
2/1/95	50.125	50.75	49.875	50.5	334900
2/2/95	50.875	51	50.5	50.75	288100
2/3/95	51.125	51.5	51	51.375	355400
2/6/95	51.875	52.625	51.625	52.25	205800
2/7/95	52.25	52.875	52.125	52.5	231000
2/8/95	52.5	53.375	52.5	52.75	419200
2/9/95	53.25	53.375	52.375	53.375	328800
2/10/95	53.625	53.75	52.25	53	172900
2/13/95	52.75	53	52.5	53	287300
2/14/95	53.875	53.875	52.75	53	197800
2/15/95	53.25	53.375	53	53.25	229100
2/16/95	53	53.125	53	53	86900
2/17/95	53.125	53.75	53	53.625	130500
2/20/95	NaN	NaN	NaN	NaN	NaN
2/21/95	53.25	53.875	52.75	53.625	245600
2/22/95	53.625	54.25	53.5	54.125	210200
2/23/95	54.625	54.75	54.125	54.5	404800
2/24/95	54.5	54.625	54	54.625	221200
2/27/95	54.25	54.875	54	54.375	190100
2/28/95	54.375	54.5	54.25	54.375	108200
3/1/95	54.5	54.625	54.375	54.5	147100
3/2/95	54.125	54.375	53.875	54.25	225100
3/3/95	54	54	53.625	53.75	199400
3/6/95	53.25	53.625	53.125	53.375	108500
3/7/95	52.5	53.25	51.75	52	303900
3/8/95	52.125	52.375	51.75	52	359700
3/9/95	51.625	52	51.5	51.625	210000
3/10/95	52	53.25	51.5	53.125	158100
3/13/95	53	53.25	52.75	52.75	67400
3/14/95	53	53.375	52.75	53	124900
3/15/95	52.75	53.375	52.5	52.875	213500
3/16/95	53.125	53.625	52.625	53.5	121900
3/17/95	53.625	54	53.625	54	269700
3/20/95	53.75	53.875	53.125	53.625	99900
3/21/95	53.5	54	52.375	52.5	290700
3/22/95	52.375	53	51.625	53	268900
3/23/95	52.125	53	52.125	52.625	207900
3/24/95	52.625	54.25	52.5	53.125	245200
3/27/95	53.125	53.375	52.875	53.125	131200
3/28/95	53.375	54	53.125	54	192400
3/29/95	54.25	55.5	54.125	54.75	394900
3/30/95	54.875	54.875	54.5	54.75	168300
3/31/95	54.625	54.875	54	54.75	139300
4/3/95	54.875	55.25	54.75	54.875	144000
4/4/95	54.75	55	53.875	54.875	275000
4/5/95	54.625	55	54.5	55	213700
4/6/95	55	55.375	54.625	54.75	139200
4/7/95	54.75	55.125	54.375	55.125	102600
4/10/95	55.25	55.375	55	55.125	297000
4/11/95	54.75	55.125	54.5	55	152200
4/12/95	55.125	55.25	54.75	55	397900
4/13/95	53.25	54.375	53.125	53.75	559300
4/14/95	NaN	NaN	NaN	NaN	NaN
4/17/95	53.75	54.375	53.5	54.25	225400
4/18/95	54.25	54.75	54.125	54.25	123600
4/19/95	54.125	55.5	54.125	54.875	95400
4/20/95	56.125	56.25	55	56.125	186900
4/21/95	56.5	57.25	56.375	56.375	384600
4/24/95	55.875	56.5	55.75	56.5	176400
4/25/95	56.125	56.5	55.25	56.125	196100
4/26/95	56	56.125	54.875	55.375	97400
4/27/95	54.75	55.125	54.75	55.125	135000
4/28/95	54.875	55.375	54.5	54.75	115700
5/1/95	54.875	54.875	54.625	54.875	123200
5/2/95	54.25	54.75	53.875	54	264600
5/3/95	54.25	54.25	53.625	53.75	312100
5/4/95	53.875	53.875	53.5	53.625	199400
5/5/95	53.625	53.625	52.375	52.5	354600
5/8/95	53.5	54	52.375	54	396500
5/9/95	54.875	55.25	49.875	50	2692100
5/10/95	50.375	52.625	49.875	52.5	1754200
5/11/95	52.5	53.25	51.5	51.625	729400
5/12/95	51.375	52.875	51.375	52.875	634500
5/15/95	52.75	54.375	52.75	54.25	509500
5/16/95	55.25	56.375	55.125	55.75	849900
5/17/95	55.75	56.125	55.375	56	658900
5/18/95	55.75	56	54.875	55	584500
5/19/95	54.25	54.75	54	54.75	212700
5/22/95	54.75	55.375	54.25	54.375	240300
5/23/95	54.625	55	54.375	55	336000
5/24/95	55.625	56.25	55.5	56	361700
5/25/95	56	56.25	55.5	55.875	410500
5/26/95	55.625	55.875	55.375	55.75	366100
5/29/95	NaN	NaN	NaN	NaN	NaN
5/30/95	55.875	56.375	55.875	56.25	322000
5/31/95	56.25	57.125	56	57.125	311200
6/1/95	56.875	58.25	56.625	57.375	746300
6/2/95	56.75	57.625	56.5	57	536900
6/5/95	56.5	56.625	56.25	56.625	553200
6/6/95	57.375	57.875	57.25	57.625	600000
6/7/95	57.375	57.375	56.875	57.25	282400
6/8/95	57.125	57.875	57.125	57.875	271000
6/9/95	57.625	57.625	56.25	56.25	222800
6/12/95	56.5	57.625	56.375	57.625	241400
6/13/95	57.375	57.75	57.125	57.375	290400
6/14/95	57.375	57.625	57.125	57.375	441200
6/15/95	57	57.5	56.875	57.25	293700
6/16/95	56.75	57.375	56.75	57	360700
6/19/95	56.75	56.875	55.125	55.125	291000
6/20/95	55.125	56.125	54.125	55.25	713100
6/21/95	53.5	53.625	52	53.375	1316600
6/22/95	53.25	53.75	52.75	53.5	1014700
6/23/95	53.5	54.625	53	54.625	288300
6/26/95	53.875	55.75	53.875	55.625	377500
6/27/95	55.375	55.375	53.75	53.75	431100
6/28/95	53.5	54.125	53.25	53.75	372900
6/29/95	53.875	54.75	53.375	54.375	228300
6/30/95	54.75	55.75	54.5	55	377300
7/3/95	55.125	56.125	55	56.125	110900
7/4/95	NaN	NaN	NaN	NaN	NaN
7/5/95	55.875	56	55.75	55.75	403200
7/6/95	55.75	56.75	55.625	56.75	312800
7/7/95	57.125	58.375	57.125	57.875	602600
7/10/95	57.625	58	57.625	57.875	330400
7/11/95	57.875	58	57.5	57.75	168900
7/12/95	57.75	57.875	57.375	57.5	188100
7/13/95	57.5	57.625	56.75	56.875	220300
7/14/95	56.75	57	56.5	56.875	178500
7/17/95	56.875	56.875	56.625	56.75	165200
7/18/95	56.5	57	56.375	56.75	329500
